SourceFile,Aperture,ApertureValue,BitsPerSample,BrightnessValue,CircleOfConfusion,ColorComponents,ColorSpace,ComponentsConfiguration,Compression,CreateDate,DateTimeOriginal,DigitalZoomRatio,Directory,EncodingProcess,ExifByteOrder,ExifImageHeight,ExifImageWidth,ExifToolVersion,ExifVersion,ExposureCompensation,ExposureMode,ExposureProgram,ExposureTime,FileAccessDate,FileInodeChangeDate,FileModifyDate,FileName,FilePermissions,FileSize,FileType,FileTypeExtension,Flash,FlashpixVersion,FNumber,FocalLength,FocalLength35efl,FocalLengthIn35mmFormat,FOV,GPSAltitude,GPSAltitudeRef,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSSpeed,GPSSpeedRef,GPSTimeStamp,HyperfocalDistance,ImageHeight,ImageSize,ImageWidth,ISO,LensInfo,LensMake,LensModel,LightValue,Make,Megapixels,MeteringMode,MIMEType,Model,ModifyDate,Orientation,ResolutionUnit,RunTimeEpoch,RunTimeFlags,RunTimeScale,RunTimeSincePowerUp,RunTimeValue,ScaleFactor35efl,SceneCaptureType,SceneType,SensingMethod,ShutterSpeed,ShutterSpeedValue,Software,SubjectArea,SubSecCreateDate,SubSecDateTimeOriginal,SubSecTimeDigitized,SubSecTimeOriginal,ThumbnailImage,ThumbnailLength,ThumbnailOffset,WhiteBalance,XResolution,YCbCrPositioning,YCbCrSubSampling,YResolution
IMG_0001.JPG,2.4,2.4,8,6.472990777,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:19:59,2016:07:30 14:19:59,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/120,2016:07:30 22:18:05+09:00,2016:07:30 21:44:28+09:00,2016:07:30 14:19:59+09:00,IMG_0001.JPG,rw-------,1832 kB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,13.8 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:19:58.01Z,109.7048611,True North,65 m,109.7048611,True North,"35 deg 43' 4.84"" N",North,"139 deg 45' 54.05"" E",East,"35 deg 43' 4.84"" N, 139 deg 45' 54.05"" E",0,km/h,05:19:58.01,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,11.4,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:19:59,Horizontal (normal),inches,0,Valid,1000000000,1 days 9:45:00,121500639874458,9.4,Standard,Directly photographed,One-chip color area,1/120,1/120,9.3.2,1631 1223 1795 1077,2016:07:30 14:19:59.230,2016:07:30 14:19:59.230,230,230,"(Binary data 7756 bytes, use -b option to extract)",7756,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0002.JPG,2.4,2.4,8,8.477103301,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:25:21,2016:07:30 14:25:21,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/298,2016:07:30 22:18:05+09:00,2016:07:30 21:10:27+09:00,2016:07:30 14:25:21+09:00,IMG_0002.JPG,rw-------,2.1 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,15.9 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:25:16.76Z,290.82,True North,65 m,290.82,True North,"35 deg 43' 6.13"" N",North,"139 deg 45' 50.32"" E",East,"35 deg 43' 6.13"" N, 139 deg 45' 50.32"" E",0,km/h,05:25:16.76,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,12.7,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:25:21,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:46:49,121609919927375,9.4,Standard,Directly photographed,One-chip color area,1/298,1/298,9.3.2,1631 1223 1795 1077,2016:07:30 14:25:21.290,2016:07:30 14:25:21.290,290,290,"(Binary data 9636 bytes, use -b option to extract)",9636,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0003.JPG,2.4,2.4,8,9.976572133,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:28:49,2016:07:30 14:28:49,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/823,2016:07:30 22:18:05+09:00,2016:07:30 21:10:27+09:00,2016:07:30 14:28:49+09:00,IMG_0003.JPG,rw-------,3.5 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,11.9 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:28:47.01Z,115.0888325,True North,65 m,115.0888325,True North,"35 deg 43' 8.68"" N",North,"139 deg 45' 44.11"" E",East,"35 deg 43' 8.68"" N, 139 deg 45' 44.11"" E",0,km/h,05:28:47.01,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,14.2,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:28:49,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:47:47,121667180406916,9.4,Standard,Directly photographed,One-chip color area,1/823,1/823,9.3.2,1631 1223 1795 1077,2016:07:30 14:28:49.052,2016:07:30 14:28:49.052,052,052,"(Binary data 12077 bytes, use -b option to extract)",12077,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0004.JPG,2.4,2.4,8,8.84974359,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:30:34,2016:07:30 14:30:34,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/370,2016:07:30 22:18:05+09:00,2016:07:30 21:10:27+09:00,2016:07:30 14:30:34+09:00,IMG_0004.JPG,rw-------,1521 kB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,10.5 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:30:33.99Z,309.8940092,True North,65 m,309.8940092,True North,"35 deg 43' 9.60"" N",North,"139 deg 45' 43.01"" E",East,"35 deg 43' 9.60"" N, 139 deg 45' 43.01"" E",0,km/h,05:30:33.99,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,13.1,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:30:34,Horizontal (normal),inches,0,Valid,1000000000,1 days 9:48:01,121681898165375,9.4,Standard,Directly photographed,One-chip color area,1/370,1/370,9.3.2,1631 1223 1795 1077,2016:07:30 14:30:34.007,2016:07:30 14:30:34.007,007,007,"(Binary data 8076 bytes, use -b option to extract)",8076,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0005.JPG,2.4,2.4,8,8.014054054,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:31:25,2016:07:30 14:31:25,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/357,2016:07:30 22:18:05+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:31:25+09:00,IMG_0005.JPG,rw-------,2.8 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,10 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:31:21.87Z,229.7393365,True North,65 m,229.7393365,True North,"35 deg 43' 9.77"" N",North,"139 deg 45' 42.19"" E",East,"35 deg 43' 9.77"" N, 139 deg 45' 42.19"" E",0,km/h,05:31:21.87,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,13.0,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:31:25,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:48:53,121733091215416,9.4,Standard,Directly photographed,One-chip color area,1/357,1/357,9.3.2,1631 1223 1795 1077,2016:07:30 14:31:25.200,2016:07:30 14:31:25.200,200,200,"(Binary data 11248 bytes, use -b option to extract)",11248,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0006.JPG,2.4,2.4,8,5.175908222,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:32:27,2016:07:30 14:32:27,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/40,2016:07:30 22:18:06+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:32:27+09:00,IMG_0006.JPG,rw-------,3.4 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,9.8 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:32:26.32Z,232.1121076,True North,65 m,232.1121076,True North,"35 deg 43' 10.01"" N",North,"139 deg 45' 40.32"" E",East,"35 deg 43' 10.01"" N, 139 deg 45' 40.32"" E",0,km/h,05:32:26.32,1.42 m,2448,3264x2448,3264,32,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,9.5,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:32:27,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:49:09,121749121325750,9.4,Standard,Directly photographed,One-chip color area,1/40,1/40,9.3.2,1631 1223 1795 1077,2016:07:30 14:32:27.655,2016:07:30 14:32:27.655,655,655,"(Binary data 12662 bytes, use -b option to extract)",12662,2028,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0007.JPG,2.4,2.4,8,4.610709988,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:36:40,2016:07:30 14:36:40,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/30,2016:07:30 22:18:06+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:36:40+09:00,IMG_0007.JPG,rw-------,2.8 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,9.3 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:36:34.73Z,303.994152,True North,65 m,303.994152,True North,"35 deg 43' 10.15"" N",North,"139 deg 45' 39.61"" E",East,"35 deg 43' 10.15"" N, 139 deg 45' 39.61"" E",0,km/h,05:36:34.73,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,9.4,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:36:40,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:52:34,121954566213916,9.4,Standard,Directly photographed,One-chip color area,1/30,1/30,9.3.2,1631 1223 1795 1077,2016:07:30 14:36:40.242,2016:07:30 14:36:40.242,242,242,"(Binary data 11489 bytes, use -b option to extract)",11489,2028,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0008.JPG,2.4,2.4,8,7.535298681,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:37:56,2016:07:30 14:37:56,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/281,2016:07:30 22:18:06+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:37:56+09:00,IMG_0008.JPG,rw-------,2.3 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,14.9 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:37:42.53Z,33.38736842,True North,65 m,33.38736842,True North,"35 deg 43' 13.02"" N",North,"139 deg 45' 43.40"" E",East,"35 deg 43' 13.02"" N, 139 deg 45' 43.40"" E",0,km/h,05:37:42.53,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,12.7,Apple,8.0,Spot,image/jpeg,iPad mini 4,2016:07:30 14:37:56,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:53:05,121985901865166,9.4,Standard,Directly photographed,One-chip color area,1/281,1/281,9.3.2,1963 624 610 612,2016:07:30 14:37:56.758,2016:07:30 14:37:56.758,758,758,"(Binary data 9927 bytes, use -b option to extract)",9927,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0009.JPG,2.4,2.4,8,7.276379218,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:38:41,2016:07:30 14:38:41,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/227,2016:07:30 22:18:06+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:38:41+09:00,IMG_0009.JPG,rw-------,3.1 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,14.4 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:38:33.13Z,140.1542056,True North,72.70168067 m,140.1542056,True North,"35 deg 43' 12.97"" N",North,"139 deg 45' 38.40"" E",East,"35 deg 43' 12.97"" N, 139 deg 45' 38.40"" E",0,km/h,05:38:33.13,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,12.4,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:38:41,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:53:50,122030224431625,9.4,Standard,Directly photographed,One-chip color area,1/227,1/227,9.3.2,1631 1223 1795 1077,2016:07:30 14:38:41.081,2016:07:30 14:38:41.081,081,081,"(Binary data 13001 bytes, use -b option to extract)",13001,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
IMG_0010.JPG,2.4,2.4,8,8.275247525,0.003 mm,3,sRGB,"Y, Cb, Cr, -",JPEG (old-style),2016:07:30 14:38:44,2016:07:30 14:38:44,,.,"Baseline DCT, Huffman coding","Big-endian (Motorola, MM)",2448,3264,10.24,0221,0,Auto,Program AE,1/440,2016:07:30 22:18:06+09:00,2016:07:30 21:10:26+09:00,2016:07:30 14:38:44+09:00,IMG_0010.JPG,rw-------,3.2 MB,JPEG,jpg,No flash function,0100,2.4,3.3 mm,3.3 mm (35 mm equivalent: 31.0 mm),31 mm,60.3 deg,14.4 m Above Sea Level,Above Sea Level,2016:07:30,2016:07:30 05:38:33.13Z,134.5525114,True North,72.70168067 m,134.5525114,True North,"35 deg 43' 12.97"" N",North,"139 deg 45' 38.40"" E",East,"35 deg 43' 12.97"" N, 139 deg 45' 38.40"" E",0,km/h,05:38:33.13,1.42 m,2448,3264x2448,3264,25,3.3mm f/2.4,Apple,iPad mini 4 back camera 3.3mm f/2.4,13.3,Apple,8.0,Multi-segment,image/jpeg,iPad mini 4,2016:07:30 14:38:44,Rotate 90 CW,inches,0,Valid,1000000000,1 days 9:53:53,122033292660458,9.4,Standard,Directly photographed,One-chip color area,1/440,1/440,9.3.2,1631 1223 1795 1077,2016:07:30 14:38:44.149,2016:07:30 14:38:44.149,149,149,"(Binary data 10897 bytes, use -b option to extract)",10897,2016,Auto,72,Centered,YCbCr4:2:0 (2 2),72
